name ,date,ISIN ,issue date,coupon ,maturity date ,closing price ,yield to maturity 
CAN 1.5 Jun 23,2021-01-18,CA135087A610,2012-07-30,0.015,2023-06-01,103.13,0.0018
CAN 1.5 Jun 23,2021-01-19,CA135087A610,2012-07-30,0.015,2023-06-01,103.14,0.0018
CAN 1.5 Jun 23,2021-01-20,CA135087A610,2012-07-30,0.015,2023-06-01,103.1,0.0018
CAN 1.5 Jun 23,2021-01-21,CA135087A610,2012-07-30,0.015,2023-06-01,103.09,0.0018
CAN 1.5 Jun 23,2021-01-22,CA135087A610,2012-07-30,0.015,2023-06-01,103.09,0.0018
CAN 1.5 Jun 23,2021-01-25,CA135087A610,2012-07-30,0.015,2023-06-01,103.04,0.0018
CAN 1.5 Jun 23,2021-01-26,CA135087A610,2012-07-30,0.015,2023-06-01,103.06,0.0018
CAN 1.5 Jun 23,2021-01-27,CA135087A610,2012-07-30,0.015,2023-06-01,103.1,0.0018
CAN 1.5 Jun 23,2021-01-28,CA135087A610,2012-07-30,0.015,2023-06-01,103.08,0.0018
CAN 1.5 Jun 23,2021-01-29,CA135087A610,2012-07-30,0.015,2023-06-01,103.06,0.0018
CAN 0.75 Mar 21,2021-01-18,CA135087F254,2015-10-19,0.0075,2021-03-01,100.08,0.0004
CAN 0.75 Mar 21,2021-01-19,CA135087F254,2015-10-19,0.0075,2021-03-01,100.08,0.0004
CAN 0.75 Mar 21,2021-01-20,CA135087F254,2015-10-19,0.0075,2021-03-01,100.08,0.0004
CAN 0.75 Mar 21,2021-01-21,CA135087F254,2015-10-19,0.0075,2021-03-01,100.07,0.0004
CAN 0.75 Mar 21,2021-01-22,CA135087F254,2015-10-19,0.0075,2021-03-01,100.07,0.0004
CAN 0.75 Mar 21,2021-01-25,CA135087F254,2015-10-19,0.0075,2021-03-01,100.06,0.0004
CAN 0.75 Mar 21,2021-01-26,CA135087F254,2015-10-19,0.0075,2021-03-01,100.06,0.0004
CAN 0.75 Mar 21,2021-01-27,CA135087F254,2015-10-19,0.0075,2021-03-01,100.06,0.0004
CAN 0.75 Mar 21,2021-01-28,CA135087F254,2015-10-19,0.0075,2021-03-01,100.06,0.0004
CAN 0.75 Mar 21,2021-01-29,CA135087F254,2015-10-19,0.0075,2021-03-01,100.06,0.0004
CAN 0.75 Sep 21,2021-01-18,CA135087F585,2016-11-04,0.0075,2021-09-01,100.04,0.0012
CAN 0.75 Sep 21,2021-01-19,CA135087F585,2016-11-04,0.0075,2021-09-01,100.04,0.0012
CAN 0.75 Sep 21,2021-01-20,CA135087F585,2016-11-04,0.0075,2021-09-01,100.39,0.0012
CAN 0.75 Sep 21,2021-01-21,CA135087F585,2016-11-04,0.0075,2021-09-01,100.38,0.0012
CAN 0.75 Sep 21,2021-01-22,CA135087F585,2016-11-04,0.0075,2021-09-01,100.38,0.0012
CAN 0.75 Sep 21,2021-01-25,CA135087F585,2016-11-04,0.0075,2021-09-01,100.37,0.0012
CAN 0.75 Sep 21,2021-01-26,CA135087F585,2016-11-04,0.0075,2021-09-01,100.37,0.0012
CAN 0.75 Sep 21,2021-01-27,CA135087F585,2016-11-04,0.0075,2021-09-01,100.38,0.0012
CAN 0.75 Sep 21,2021-01-28,CA135087F585,2016-11-04,0.0075,2021-09-01,100.37,0.0012
CAN 0.75 Sep 21,2021-01-29,CA135087F585,2016-11-04,0.0075,2021-09-01,100.37,0.0012
CAN 0.5 Mar 22,2021-01-18,CA135087G328,2016-11-10,0.005,2022-03-01,100.44,0.0012
CAN 0.5 Mar 22,2021-01-19,CA135087G328,2016-11-10,0.005,2022-03-01,100.43,0.0012
CAN 0.5 Mar 22,2021-01-20,CA135087G328,2016-11-10,0.005,2022-03-01,100.41,0.0012
CAN 0.5 Mar 22,2021-01-21,CA135087G328,2016-11-10,0.005,2022-03-01,100.4,0.0012
CAN 0.5 Mar 22,2021-01-22,CA135087G328,2016-11-10,0.005,2022-03-01,100.41,0.0012
CAN 0.5 Mar 22,2021-01-25,CA135087G328,2016-11-10,0.005,2022-03-01,100.39,0.0012
CAN 0.5 Mar 22,2021-01-26,CA135087G328,2016-11-10,0.005,2022-03-01,100.39,0.0012
CAN 0.5 Mar 22,2021-01-27,CA135087G328,2016-11-10,0.005,2022-03-01,100.41,0.0012
CAN 0.5 Mar 22,2021-01-28,CA135087G328,2016-11-10,0.005,2022-03-01,100.41,0.0012
CAN 0.5 Mar 22,2021-01-29,CA135087G328,2016-11-10,0.005,2022-03-01,100.41,0.0012
CAN 1.75 Mar 23,2021-01-18,CA135087H490,2017-10-06,0.0175,2023-03-01,103.29,0.0018
CAN 1.75 Mar 23,2021-01-19,CA135087H490,2017-10-06,0.0175,2023-03-01,103.29,0.0018
CAN 1.75 Mar 23,2021-01-20,CA135087H490,2017-10-06,0.0175,2023-03-01,103.25,0.0018
CAN 1.75 Mar 23,2021-01-21,CA135087H490,2017-10-06,0.0175,2023-03-01,103.24,0.0018
CAN 1.75 Mar 23,2021-01-22,CA135087H490,2017-10-06,0.0175,2023-03-01,103.25,0.0018
CAN 1.75 Mar 23,2021-01-25,CA135087H490,2017-10-06,0.0175,2023-03-01,103.22,0.0018
CAN 1.75 Mar 23,2021-01-26,CA135087H490,2017-10-06,0.0175,2023-03-01,103.22,0.0018
CAN 1.75 Mar 23,2021-01-27,CA135087H490,2017-10-06,0.0175,2023-03-01,103.25,0.0018
CAN 1.75 Mar 23,2021-01-28,CA135087H490,2017-10-06,0.0175,2023-03-01,103.26,0.0018
CAN 1.75 Mar 23,2021-01-29,CA135087H490,2017-10-06,0.0175,2023-03-01,103.24,0.0018
CAN 2.25 Feb 21,2021-01-18,CA135087J629,2018-09-11,0.0225,2021-02-01,100.06,0
CAN 2.25 Feb 21,2021-01-19,CA135087J629,2018-09-11,0.0225,2021-02-01,100.06,0
CAN 2.25 Feb 21,2021-01-20,CA135087J629,2018-09-11,0.0225,2021-02-01,100.05,0
CAN 2.25 Feb 21,2021-01-21,CA135087J629,2018-09-11,0.0225,2021-02-01,100.03,0
CAN 2.25 Feb 21,2021-01-22,CA135087J629,2018-09-11,0.0225,2021-02-01,100.03,0
CAN 2.25 Feb 21,2021-01-25,CA135087J629,2018-09-11,0.0225,2021-02-01,100.02,0
CAN 2.25 Feb 21,2021-01-26,CA135087J629,2018-09-11,0.0225,2021-02-01,100.02,0
CAN 2.25 Feb 21,2021-01-27,CA135087J629,2018-09-11,0.0225,2021-02-01,100.01,0
CAN 2.25 Feb 21,2021-01-28,CA135087J629,2018-09-11,0.0225,2021-02-01,,0
CAN 2.25 Feb 21,2021-01-29,CA135087J629,2018-09-11,0.0225,2021-02-01,,0
CAN 1.75 May 21,2021-01-18,CA135087J884,2019-11-02,0.0175,2021-05-01,100.48,0.0008
CAN 1.75 May 21,2021-01-19,CA135087J884,2019-11-02,0.0175,2021-05-01,100.47,0.0008
CAN 1.75 May 21,2021-01-20,CA135087J884,2019-11-02,0.0175,2021-05-01,100.46,0.0008
CAN 1.75 May 21,2021-01-21,CA135087J884,2019-11-02,0.0175,2021-05-01,100.45,0.0008
CAN 1.75 May 21,2021-01-22,CA135087J884,2019-11-02,0.0175,2021-05-01,100.44,0.0008
CAN 1.75 May 21,2021-01-25,CA135087J884,2019-11-02,0.0175,2021-05-01,100.44,0.0008
CAN 1.75 May 21,2021-01-26,CA135087J884,2019-11-02,0.0175,2021-05-01,100.43,0.0008
CAN 1.75 May 21,2021-01-27,CA135087J884,2019-11-02,0.0175,2021-05-01,100.43,0.0008
CAN 1.75 May 21,2021-01-28,CA135087J884,2019-11-02,0.0175,2021-05-01,100.42,0.0008
CAN 1.75 May 21,2021-01-29,CA135087J884,2019-11-02,0.0175,2021-05-01,100.41,0.0008
CAN 1.5 Aug 21,2021-01-18,CA135087K296,2019-05-06,0.015,2021-08-01,100.76,0.0011
CAN 1.5 Aug 21,2021-01-19,CA135087K296,2019-05-06,0.015,2021-08-01,100.75,0.0011
CAN 1.5 Aug 21,2021-01-20,CA135087K296,2019-05-06,0.015,2021-08-01,100.73,0.0011
CAN 1.5 Aug 21,2021-01-21,CA135087K296,2019-05-06,0.015,2021-08-01,100.72,0.0011
CAN 1.5 Aug 21,2021-01-22,CA135087K296,2019-05-06,0.015,2021-08-01,100.72,0.0011
CAN 1.5 Aug 21,2021-01-25,CA135087K296,2019-05-06,0.015,2021-08-01,100.71,0.0011
CAN 1.5 Aug 21,2021-01-26,CA135087K296,2019-05-06,0.015,2021-08-01,100.71,0.0011
CAN 1.5 Aug 21,2021-01-27,CA135087K296,2019-05-06,0.015,2021-08-01,100.71,0.0011
CAN 1.5 Aug 21,2021-01-28,CA135087K296,2019-05-06,0.015,2021-08-01,100.7,0.0011
CAN 1.5 Aug 21,2021-01-29,CA135087K296,2019-05-06,0.015,2021-08-01,100.7,0.0011
CAN 1.25 Nov 21,2021-01-18,CA135087K452,2019-08-09,0.0125,2021-11-01,100.904,0.0013
CAN 1.25 Nov 21,2021-01-19,CA135087K452,2019-08-09,0.0125,2021-11-01,100.894,0.0013
CAN 1.25 Nov 21,2021-01-20,CA135087K452,2019-08-09,0.0125,2021-11-01,100.874,0.0013
CAN 1.25 Nov 21,2021-01-21,CA135087K452,2019-08-09,0.0125,2021-11-01,100.864,0.0013
CAN 1.25 Nov 21,2021-01-22,CA135087K452,2019-08-09,0.0125,2021-11-01,100.863,0.0013
CAN 1.25 Nov 21,2021-01-25,CA135087K452,2019-08-09,0.0125,2021-11-01,100.849,0.0013
CAN 1.25 Nov 21,2021-01-26,CA135087K452,2019-08-09,0.0125,2021-11-01,100.849,0.0013
CAN 1.25 Nov 21,2021-01-27,CA135087K452,2019-08-09,0.0125,2021-11-01,100.857,0.0013
CAN 1.25 Nov 21,2021-01-28,CA135087K452,2019-08-09,0.0125,2021-11-01,100.848,0.0013
CAN 1.25 Nov 21,2021-01-29,CA135087K452,2019-08-09,0.0125,2021-11-01,100.846,0.0013
CAN 1.5 Feb 21,2021-01-18,CA135087K601,2019-11-04,0.015,2021-02-01,101.44,0.0013
CAN 1.5 Feb 21,2021-01-19,CA135087K601,2019-11-04,0.015,2021-02-01,101.44,0.0013
CAN 1.5 Feb 21,2021-01-20,CA135087K601,2019-11-04,0.015,2021-02-01,101.41,0.0013
CAN 1.5 Feb 21,2021-01-21,CA135087K601,2019-11-04,0.015,2021-02-01,101.4,0.0013
CAN 1.5 Feb 21,2021-01-22,CA135087K601,2019-11-04,0.015,2021-02-01,101.4,0.0013
CAN 1.5 Feb 21,2021-01-25,CA135087K601,2019-11-04,0.015,2021-02-01,101.38,0.0013
CAN 1.5 Feb 21,2021-01-26,CA135087K601,2019-11-04,0.015,2021-02-01,101.38,0.0013
CAN 1.5 Feb 21,2021-01-27,CA135087K601,2019-11-04,0.015,2021-02-01,101.39,0.0013
CAN 1.5 Feb 21,2021-01-28,CA135087K601,2019-11-04,0.015,2021-02-01,101.38,0.0013
CAN 1.5 Feb 21,2021-01-29,CA135087K601,2019-11-04,0.015,2021-02-01,101.38,0.0013
